# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
GoblinGang,1/1+2,2/1+1,1/1+2,2/1+1,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,2/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,1/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,1/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+1,,,2/1+1,3/1+2,6/1+2,5/1+2,3/1+2,1/1+1,,3/1+2,1/1+1,2/1+2,1/1+1,1/1+2,1/1+2,5/1+2,2/1+2,1/1+2,2/1+2,2/1+2,2/1+2,2/1+1,1/0+3,1/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,1/1+2,2/1+1,3/1+2,2/1+1,3/1+2,1/1+1,1/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/2+1,2/1+1,1/0+3,2/1+2
GoblinGiant,9/6+10,28/14+17,14/9+14,28/14+17,9/1+30,17/10+13,18/11+13,19/9+18,,14/1+32,17/9+16,17/9+16,39/14+22,12/6+17,,31/18+14,21/13+13,15/7+17,14/7+17,13/9+12,11/5+19,13/8+14,16/10+12,12/7+14,10/7+11,19/11+15,17/7+20,,32/1+33,27/10+22,24/12+17,,,,16/1+32,5/1+27,49/7+29,18/8+19,17/9+15,22/1+33,12/7+16,,,12/7+13,17/10+14,25/12+18,,14/9+13,25/12+18,,20/12+14,,,29/1+33,,,29/1+33,35/11+24,16/12+8,13/9+6,34/15+19,16/9+15,,39/11+25,3/1+23,30/13+20,12/1+31,12/7+15,10/7+13,15/13+7,17/9+15,5/4+8,27/8+24,30/13+19,30/13+19,23/14+14,12/4+23,15/10+11,15/10+12,15/10+12,4/3+7,15/10+12,8/6+10,13/9+9,,25/13+17,15/8+15,3/1+18,9/6+11,,,24/11+18,39/15+21,21/8+21,16/8+17,27/14+17,39/15+21,18/1+32,39/12+24,15/9+13,16/9+14,12/7+14,,24/12+17,24/13+16,12/7+13,12/7+13,54/30+15,17/1+32,3/2+9,24/9+21
GoblinHut,4/2+5,11/5+7,6/3+6,11/5+7,4/1+9,7/4+5,7/5+6,8/3+8,2/2+5,6/1+11,7/3+7,7/3+7,15/5+9,5/2+7,5/1+10,12/7+6,8/5+5,6/3+7,6/3+7,5/3+5,5/2+7,5/3+5,6/4+5,5/3+5,4/3+4,7/4+6,7/3+8,8/3+8,12/1+12,11/4+9,9/5+7,5/3+5,10/5+6,19/6+9,6/1+11,2/1+6,19/3+11,7/3+7,7/3+7,8/1+12,5/3+7,5/3+6,8/4+7,5/3+5,7/4+5,10/5+7,7/4+7,6/3+6,10/5+7,10/4+8,8/4+6,4/2+7,15/3+11,11/1+12,4/2+6,15/3+11,11/1+12,14/4+9,11/8+6,11/7+5,13/6+7,6/4+6,23/6+10,15/4+10,2/1+2,12/5+8,5/1+10,5/3+6,4/3+6,10/7+5,7/4+6,2/2+4,11/3+10,12/5+8,12/5+8,9/5+6,5/1+10,6/4+4,6/4+5,6/4+5,2/1+4,6/4+5,4/2+5,5/4+4,5/3+6,10/5+7,6/3+6,1/1+1,4/2+5,4/3+6,16/5+9,9/4+8,15/6+8,8/3+8,6/3+7,11/5+7,15/6+8,7/1+11,15/4+10,6/4+6,6/4+6,5/3+6,5/1+10,9/5+7,9/5+6,5/3+5,5/3+5,21/11+6,7/1+11,1/1+4,9/3+9
GoblinMachine,6/4+8,21/11+12,11/6+10,21/11+12,7/1+21,12/7+10,13/8+10,14/7+13,,10/1+23,12/7+12,12/7+12,28/10+16,9/5+13,,23/13+11,15/9+10,11/5+13,11/5+13,10/6+9,8/4+13,9/5+11,12/8+9,9/6+11,8/5+8,14/8+11,12/5+15,,23/1+24,20/7+16,17/9+12,,,,11/1+23,4/1+18,36/5+22,13/6+13,12/6+12,16/1+24,9/5+11,,,9/5+10,13/7+11,19/9+13,,10/6+10,19/9+13,,15/9+10,,,21/1+24,,,21/1+24,26/8+17,14/10+7,12/8+6,25/11+14,12/7+10,,28/8+18,3/1+14,22/9+15,9/1+22,9/5+11,8/5+9,13/11+6,12/7+11,3/3+6,20/6+17,22/9+15,22/9+15,17/10+10,9/3+17,11/7+9,11/7+9,11/7+9,3/2+7,11/7+9,6/4+8,9/7+7,,19/10+12,11/6+11,2/1+9,7/4+9,,,18/8+14,28/11+15,15/6+15,12/6+12,20/10+12,28/11+15,13/1+23,28/8+18,11/7+10,12/7+11,9/5+11,,17/9+12,18/9+12,9/5+10,9/5+10,40/22+11,12/1+23,2/2+9,17/6+16
Goblins,1/1+2,2/1+1,1/1+2,2/1+1,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,2/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,1/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,1/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+1,,,2/1+1,3/1+2,6/1+2,5/1+2,3/1+2,1/1+1,,3/1+2,1/1+1,2/1+2,1/1+1,1/1+2,1/1+2,5/1+2,2/1+2,1/1+2,2/1+2,2/1+2,2/1+2,2/1+1,1/0+3,1/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,1/1+2,2/1+1,3/1+2,2/1+1,3/1+2,1/1+1,1/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/2+1,2/1+1,1/0+3,2/1+2
Goblinstein,7/5+9,22/11+13,11/7+11,22/11+13,7/1+22,13/8+10,14/9+10,15/7+14,,11/1+24,13/7+12,13/7+12,30/11+17,9/5+13,,24/14+11,16/10+10,11/6+13,11/5+14,10/6+10,9/4+14,10/6+11,12/8+9,9/6+11,8/5+9,14/8+12,13/6+15,,25/1+25,21/7+18,18/9+13,,,,12/1+24,4/1+19,38/6+22,14/6+15,13/7+12,17/1+25,10/5+12,,,9/6+10,13/8+11,20/10+14,,11/7+10,20/10+14,,15/9+11,,,22/1+25,,,22/1+25,27/8+19,14/10+7,12/9+6,26/11+15,12/7+11,,30/9+18,3/1+15,23/10+15,9/1+24,9/5+12,8/5+9,13/11+6,13/7+12,4/3+6,21/6+19,23/10+15,23/10+15,18/10+11,9/3+18,12/8+9,11/7+10,11/7+10,3/3+7,11/7+10,7/4+9,10/7+7,,20/10+13,11/6+12,2/1+10,7/5+9,,,18/9+15,30/12+16,16/6+17,12/6+13,21/10+14,30/12+16,14/1+24,30/9+18,11/7+10,12/7+11,9/5+12,,18/9+13,18/9+13,9/6+11,9/6+11,42/23+12,13/1+24,2/2+9,18/7+16
GoldenKnight,5/4+7,17/8+10,8/5+8,17/8+10,5/1+16,10/6+8,11/6+8,11/5+11,,8/1+18,10/5+10,10/5+10,23/8+13,7/4+10,,18/11+9,12/8+8,9/4+10,8/4+10,8/5+7,7/3+11,8/4+9,9/6+7,7/4+8,6/4+6,11/6+9,10/4+12,,19/1+19,16/6+13,14/7+10,,,,9/1+18,3/1+13,29/4+17,11/5+11,10/5+10,13/1+18,7/4+9,,,7/4+8,10/6+8,15/7+11,,8/5+7,15/7+11,,12/7+8,,,17/1+19,,,17/1+19,21/6+14,13/9+6,11/8+6,20/9+11,9/5+9,,23/7+14,2/1+9,18/7+12,7/1+17,7/4+8,6/4+8,12/10+6,10/5+10,3/2+4,16/5+14,17/7+12,17/7+12,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,8/5+6,,15/8+10,9/5+9,2/1+4,5/4+7,,,14/6+11,23/9+12,12/5+13,9/5+10,16/8+10,23/9+12,11/1+18,23/7+14,9/5+8,9/5+9,7/4+8,,14/7+10,14/7+10,7/4+8,7/4+8,32/17+9,10/1+18,2/1+6,14/5+13
Golem,14/10+17,46/24+27,23/14+22,46/24+27,14/1+52,27/17+21,29/18+21,31/15+29,,23/1+54,27/15+26,27/15+26,64/23+36,20/10+27,,51/30+23,34/21+22,24/12+27,23/12+27,21/14+19,18/9+28,20/12+23,26/16+21,20/12+21,17/11+19,30/17+25,27/12+31,,52/1+55,44/16+36,38/20+27,,,,25/1+54,8/1+49,80/12+48,29/14+30,27/15+25,35/1+55,20/11+25,,,19/12+20,28/17+23,41/20+29,,23/14+21,41/20+29,,32/19+23,,,47/1+55,,,47/1+55,58/18+39,21/16+10,15/12+8,56/25+31,26/15+23,,64/18+40,5/1+45,50/21+32,20/1+53,20/11+24,17/11+21,20/17+9,27/15+25,7/6+12,44/14+38,48/21+32,48/21+32,37/22+23,20/6+39,25/16+19,24/16+20,24/16+20,7/5+11,24/16+20,14/10+17,20/15+15,,41/22+27,24/13+25,4/1+40,14/10+18,,,39/18+30,64/25+34,34/13+35,26/13+27,44/22+28,64/25+34,29/1+54,64/19+39,24/15+21,26/15+24,20/12+23,,38/20+27,39/21+26,19/12+21,19/12+21,89/49+25,27/1+54,4/3+14,38/15+34
Golemite,3/2+3,10/5+6,5/3+5,10/5+6,3/1+8,6/3+5,6/4+4,7/3+6,,5/1+9,6/3+6,6/3+6,13/5+7,4/2+6,,11/6+5,7/4+5,5/2+7,5/2+7,5/3+4,4/2+6,5/3+5,6/4+4,4/3+5,4/3+4,7/4+5,6/3+8,,11/1+11,9/3+8,8/4+6,,,,6/1+10,2/1+4,17/2+10,6/3+6,6/3+5,8/1+10,4/2+6,,,4/3+5,6/4+5,9/4+6,,5/3+4,9/4+6,,7/4+5,,,10/1+11,,,10/1+11,12/4+8,11/7+5,11/6+5,12/5+7,6/3+5,,13/4+8,1/1+1,10/4+7,4/1+9,4/2+6,4/2+5,10/7+4,6/3+5,2/1+4,9/3+8,10/4+7,10/4+7,8/5+5,4/1+9,5/4+4,5/3+5,5/3+5,2/1+3,5/3+5,3/2+3,5/3+3,,9/4+6,5/3+6,1/1+1,3/2+4,,,8/4+6,13/5+7,7/3+8,6/3+6,9/5+6,13/5+7,6/1+10,13/4+8,5/3+5,6/3+5,4/2+6,,8/4+6,8/4+6,4/3+5,4/3+5,18/10+5,6/1+10,1/1+4,8/3+7
Heal,1/1+2,2/1+2,1/1+2,2/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,3/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,2/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+2,,,2/1+2,3/1+2,6/1+2,6/1+2,3/1+2,2/1+1,,3/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/1+2,2/1+2,1/1+2,2/1+2,3/1+2,3/1+2,2/1+1,1/0+3,2/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,2/1+2,2/1+2,3/1+2,2/1+1,3/1+2,1/1+1,2/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/3+2,2/1+1,1/0+3,2/1+2
HogRider,5/3+6,16/8+9,8/5+8,16/8+9,5/1+15,9/6+8,10/6+7,11/5+10,,8/1+16,9/5+9,9/5+9,21/8+12,7/3+10,,17/10+8,12/7+7,8/4+9,8/4+9,7/5+7,6/3+10,7/4+8,9/6+7,7/4+7,6/4+6,10/6+8,9/4+11,,18/1+18,15/5+13,13/7+9,,,,9/1+17,3/1+11,27/4+16,10/5+11,9/5+9,12/1+17,7/4+9,,,7/4+7,10/6+8,14/7+9,,8/5+7,14/7+9,,11/6+8,,,16/1+18,,,16/1+18,20/6+13,13/9+6,11/8+6,19/8+11,9/5+8,,21/6+14,2/1+7,17/7+11,7/1+16,7/4+8,6/4+8,12/9+6,9/5+8,3/2+4,15/5+13,16/7+11,16/7+11,13/7+8,7/2+13,9/5+7,8/5+7,8/5+7,3/2+4,8/5+7,5/3+6,7/5+5,,14/7+9,8/5+9,2/1+3,5/3+7,,,13/6+10,21/8+12,12/4+12,9/4+10,15/7+10,21/8+12,10/1+17,21/6+14,8/5+7,9/5+8,7/4+8,,13/7+9,13/7+9,7/4+7,7/4+7,30/17+9,9/1+17,2/1+4,13/5+12
Hunter,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,5/3+4,6/2+6,,4/1+8,5/3+5,5/3+5,11/4+7,4/2+5,,9/5+5,6/4+4,4/2+5,4/2+5,4/3+4,4/2+6,4/2+5,5/3+4,4/2+4,3/2+3,6/3+5,5/2+6,,9/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+3,14/2+9,5/2+6,5/3+5,6/1+9,4/2+4,,,4/2+4,5/3+4,8/4+5,,4/3+4,8/4+5,,6/3+5,,,9/1+9,,,9/1+9,10/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,11/3+7,1/1+1,9/4+6,4/1+7,4/2+4,3/2+4,9/6+4,5/3+5,2/1+2,8/2+8,9/4+6,9/4+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+5,5/2+5,1/1+1,3/2+4,,,7/3+6,11/4+7,6/2+7,5/2+6,8/4+5,11/4+7,5/1+8,11/3+7,5/3+4,5/3+5,4/2+4,,7/4+5,7/4+5,4/2+4,4/2+4,16/9+5,5/1+8,1/1+4,7/2+7
IceGolemite,4/3+5,12/6+7,6/4+6,12/6+7,4/1+11,7/4+6,8/5+6,8/4+8,,6/1+12,7/4+7,7/4+7,17/6+10,5/3+8,,13/8+6,9/6+6,6/3+8,6/3+7,6/4+6,5/2+9,6/3+6,7/4+6,5/3+6,5/3+5,8/4+7,7/3+9,,14/1+14,12/4+10,10/5+7,,,,7/1+13,2/1+7,21/3+13,8/4+8,7/4+7,9/1+13,6/3+7,,,5/3+6,8/4+7,11/5+8,,6/4+6,11/5+8,,9/5+6,,,12/1+14,,,12/1+14,15/5+11,12/8+6,11/7+5,15/6+9,7/4+6,,17/5+10,2/1+3,13/5+9,5/1+12,5/3+6,5/3+6,11/8+5,7/4+6,2/2+4,12/4+11,13/5+9,13/5+9,10/6+6,5/2+11,7/5+6,7/4+5,7/4+5,2/2+4,7/4+5,4/3+5,6/4+4,,11/6+7,7/4+8,1/1+1,4/3+5,,,10/5+8,17/7+10,9/3+10,7/3+8,12/6+7,17/7+10,8/1+13,17/5+10,6/4+6,7/4+6,5/3+6,,10/5+7,10/5+8,5/3+6,5/3+6,23/13+7,7/1+13,1/1+4,10/4+9
IceSpirits,1/1+2,2/1+2,1/1+2,2/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,1/1+1,2/1+2,2/1+2,3/1+2,1/1+3,,3/1+2,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,2/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+2,,,2/1+2,3/1+2,6/1+2,6/1+2,3/1+2,2/1+1,,3/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/1+2,2/1+2,1/1+2,2/1+2,3/1+2,3/1+2,2/1+1,1/0+3,2/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,2/1+2,2/1+2,3/1+2,2/1+1,3/1+2,1/1+1,2/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/3+2,2/1+1,1/0+3,2/1+2
IceWizard,2/2+3,7/3+4,4/2+3,7/3+4,2/1+4,4/2+4,4/3+3,5/2+4,,3/1+5,4/2+4,4/2+4,9/3+5,3/1+5,,7/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/2+4,4/2+5,,7/1+7,6/2+5,6/3+4,,,,4/1+6,1/1+1,11/1+7,4/2+4,4/2+4,5/1+6,3/2+4,,,3/2+3,4/2+4,6/3+4,,3/2+3,6/3+4,,5/2+4,,,7/1+7,,,7/1+7,8/2+6,10/5+4,8/4+4,8/3+5,4/2+4,,9/2+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,6/2+5,7/3+4,7/3+4,5/3+3,3/1+5,4/2+3,4/2+3,4/2+3,1/1+2,4/2+3,2/2+3,3/2+2,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/3+5,5/2+5,4/2+4,6/3+4,9/3+5,4/1+6,9/2+6,4/2+3,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,12/7+4,4/1+6,1/1+4,6/2+5
InfernoDragon,,12/6+7,6/4+6,12/6+7,4/1+11,,8/5+6,8/4+8,,6/1+12,,,16/6+9,,,,9/5+6,,,,,,,,,8/4+7,7/3+8,,14/1+13,12/4+9,10/5+7,,,,7/1+12,2/1+7,21/3+12,8/4+8,,9/1+13,,,,,,,,,,,,,,12/1+13,,,12/1+13,15/5+11,12/8+6,11/7+5,15/6+9,,,16/5+10,2/1+3,13/5+9,5/1+12,,5/3+6,,,,12/4+11,13/5+9,13/5+9,,,,6/4+5,6/4+5,,6/4+5,,,,11/6+7,,1/1+1,,,,,,9/3+10,,,,8/1+13,16/5+10,6/4+6,7/4+6,,,10/5+7,10/5+7,5/3+5,5/3+5,,7/1+12,,10/4+9
InfernoTower,5/3+7,16/8+10,8/5+8,16/8+10,5/1+16,10/6+8,10/6+8,11/5+10,3/2+6,8/1+17,10/5+9,10/5+9,22/8+12,7/4+10,7/1+16,18/10+8,12/7+8,8/4+10,8/4+10,8/5+7,7/3+10,7/4+8,9/6+7,7/4+8,6/4+6,11/6+8,10/4+11,11/5+11,18/1+18,15/5+13,13/7+9,7/5+6,14/7+10,28/9+13,9/1+17,3/1+12,28/4+17,10/5+11,10/5+9,12/1+18,7/4+9,7/4+8,12/5+11,7/4+7,10/6+8,14/7+10,10/5+10,8/5+7,14/7+10,14/6+11,11/7+8,6/3+9,21/5+15,16/1+18,6/4+8,21/5+15,16/1+18,20/6+14,13/9+6,11/8+6,19/8+11,9/5+9,33/9+14,22/6+14,2/1+8,17/7+12,7/1+17,7/4+8,6/4+8,12/10+6,10/5+9,3/2+4,15/5+13,17/7+11,17/7+11,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,7/5+6,7/4+9,14/7+10,9/5+9,2/1+3,5/3+7,6/4+8,24/8+13,14/6+11,22/8+12,12/5+13,9/5+10,15/8+10,22/8+12,10/1+18,22/6+14,8/5+8,9/5+8,7/4+8,7/1+16,13/7+9,14/7+9,7/4+7,7/4+7,31/17+9,10/1+17,2/1+5,13/5+12
Knight,5/3+7,16/8+10,8/5+8,16/8+10,5/1+16,10/6+8,10/6+8,11/5+11,,8/1+17,10/5+9,10/5+9,22/8+13,7/4+10,,18/11+9,12/7+8,8/4+10,8/4+10,8/5+7,7/3+10,7/4+9,9/6+7,7/4+8,6/4+6,11/6+9,10/4+11,,18/1+19,16/5+13,14/7+9,,,,9/1+17,3/1+12,28/4+17,10/5+11,10/5+9,12/1+18,7/4+9,,,7/4+8,10/6+8,15/7+10,,8/5+7,15/7+10,,11/7+8,,,17/1+18,,,17/1+18,20/6+14,13/9+6,11/8+6,20/9+11,9/5+9,,22/6+14,2/1+8,17/7+12,7/1+17,7/4+8,6/4+8,12/10+6,10/5+9,3/2+4,16/5+13,17/7+12,17/7+12,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,7/5+6,,15/7+10,9/5+9,2/1+4,5/4+7,,,14/6+11,22/9+12,12/5+13,9/5+10,16/8+10,22/9+12,10/1+18,22/6+14,9/5+8,9/5+9,7/4+8,,14/7+9,14/7+10,7/4+7,7/4+7,31/17+9,10/1+18,2/1+5,14/5+12
LavaHound,,32/17+19,16/10+15,32/17+19,10/1+35,,21/13+15,22/10+21,,16/1+37,,,45/16+25,,,,24/15+15,,,,,,,,,21/12+17,19/8+23,,37/1+38,31/11+25,27/14+19,,,,18/1+37,6/1+32,56/9+33,21/10+21,,25/1+38,,,,,,,,,,,,,,33/1+38,,,33/1+38,41/13+28,17/13+8,14/10+7,39/17+22,,,45/13+28,4/1+28,35/15+23,14/1+37,,12/8+15,,,,31/10+27,34/15+22,34/15+22,,,,17/11+13,17/11+13,,17/11+14,,,,29/15+19,,3/1+23,,,,,,24/9+25,,,,21/1+37,45/13+28,17/11+15,18/10+17,,,27/14+19,27/14+19,13/8+15,13/8+15,,19/1+37,,27/10+25
LavaPups,,2/1+2,1/1+2,2/1+2,1/1+1,,2/1+1,2/1+2,,1/1+1,,,3/1+2,,,,2/1+1,,,,,,,,,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+1,,,,2/1+1,1/1+1,4/0+3,2/1+2,,2/1+1,,,,,,,,,,,,,,2/1+2,,,2/1+2,3/1+2,6/1+2,5/1+2,3/1+2,,,3/1+2,1/1+1,3/1+2,1/1+1,,1/1+2,,,,2/1+2,3/1+2,3/1+2,,,,1/1+1,1/1+1,,1/1+1,,,,2/1+1,,1/1+1,,,,,,2/1+3,,,,2/1+1,3/1+2,1/1+1,2/1+1,,,2/1+1,2/1+1,1/1+2,1/1+2,,2/1+1,,2/1+2
LittlePrince,2/2+3,7/3+4,4/2+3,7/3+4,2/1+4,4/2+4,4/3+3,5/2+4,,4/1+6,4/2+4,4/2+4,9/3+5,3/1+5,,7/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/2+4,4/2+5,,8/1+7,6/2+6,6/3+4,,,,4/1+6,2/1+1,11/1+7,4/2+4,4/2+4,5/1+6,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,8/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/2+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,6/2+6,7/3+5,7/3+5,5/3+4,3/1+5,4/2+3,4/2+3,4/2+3,1/1+2,4/2+3,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/3+5,5/2+5,4/2+4,6/3+4,9/3+5,4/1+6,9/2+6,4/2+3,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
MegaKnight,11/8+14,36/19+21,18/11+17,36/19+21,11/1+40,21/13+16,23/14+17,24/12+23,,18/1+41,21/11+21,21/11+21,50/18+28,15/8+21,,40/23+18,27/17+17,18/9+22,18/9+22,17/11+15,14/7+22,16/10+18,20/13+16,16/10+18,13/9+14,24/14+19,21/9+25,,41/1+43,35/12+29,30/15+22,,,,20/1+42,6/1+36,63/10+37,23/11+23,21/12+20,27/1+42,16/9+20,,,15/10+16,22/13+18,32/16+22,,18/11+16,32/16+22,,25/15+18,,,37/1+43,,,37/1+43,45/14+30,18/14+9,14/10+7,44/19+25,20/12+18,,50/15+31,4/1+32,39/17+26,15/1+41,15/9+19,13/8+17,17/15+8,21/12+19,6/5+10,35/11+30,38/16+25,38/16+25,29/17+18,16/5+29,19/13+15,19/12+16,19/12+16,5/4+9,19/12+16,11/7+14,16/12+12,,32/17+21,19/10+20,3/1+28,11/8+14,,,31/14+24,50/19+27,27/10+27,20/10+22,35/17+22,50/19+27,23/1+42,50/15+31,19/12+17,20/12+19,16/9+18,,30/15+22,31/16+21,15/9+16,15/9+16,69/39+20,21/1+42,3/3+14,30/12+27
MegaMinion,,8/4+5,4/2+5,8/4+5,3/1+6,,5/3+4,5/2+6,,4/1+7,,,11/4+6,,,,6/4+4,,,,,,,,,5/3+4,5/2+5,,9/1+9,8/3+7,7/3+5,,,,5/1+7,2/1+2,14/2+8,5/2+6,,6/1+8,,,,,,,,,,,,,,8/1+8,,,8/1+8,10/3+7,11/6+5,9/5+4,10/4+6,,,11/3+7,1/1+1,9/3+6,4/1+7,,3/2+4,,,,8/2+7,8/3+6,8/3+6,,,,4/3+3,4/3+3,,4/3+4,,,,7/4+5,,1/1+1,,,,,,6/2+6,,,,5/1+8,11/3+7,4/3+4,5/2+5,,,7/3+5,7/3+5,3/2+4,3/2+4,,5/1+8,,7/2+7
