card,goblin curse,inferno dragon,mighty miner,xbow,inferno tower,cursed hog,lava hound,elixir blob,royal hogs,void 3rd,bats,skeletons,spear goblin,evo rg recoil,earthquake,lava pup,tornado,ice wiz spawn,ice golem,golemite,hunter,goblin drill spawn,devoy barrel,ice wizard,poison,goblinstein doctor,electro spirit,golemite death,little prince,berserker,ram rider bola,dagger duchess,minions,goblinstein ability,tower princess,royal chef,ice spirit,heal spirit,archers,freeze,guards,electro wizard,zappies,goblins,rune giant,arrows,rascal girl,elixir golemite,goblinstein monster,royal recruits,mother witch,evo ghost soldier,magic archer,witch,monk,skeleton barrel,battle healer,dart goblin,void 2nd,baby dragon,skeleton dragons,golden knight,phoenix death,electro giant,evo archers,princess,executioner,flying machine,evo tesla shockwave,goblin giant,furnace,snowball,rage,evo wall breaker runner,goblin demolisher,zap,ewiz spawn,electro dragon,barbarian,egiant reflection,miner,bandit,fisherman,knight,three musketeers,skeleton king,fire spirit,goblin machine,evo battle ram pushback,cannon cart,cannon,rascal boy,lp guardian,phoenix,musketeer,tesla,bomb tower,golem death,queen,bomber,evo skelly barrel,loon death,barb barrel,ram rider,giant,elixir golem,lp ability,lumberjack,bush goblin,evo wall breaker death,royal ghost,mortar,valkyrie,dark prince,mega knight,log,boss bandit,giant skeleton,evo wizard shield,wizard,battle ram,bowler,evo exe,evo cannon barrage,goblin machine rocket,vines,spirit empress,royal giant,mega minion,golem,three musketeers bayonet,night witch,hog rider,cannoneer,void 1st,firecracker,mighty bomb,golden knight ability,goblin brawler,wall breaker,elite barbarian,prince,evo musketeer,demolisher death,mega knight spawn,royal delivery,giant skelly death,balloon,fireball,mini pekka,pekka,lightning,sparky,rocket
goblin demolisher,38,11,9,31,10,28,28,28,28,18,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,6,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,1,1
goblin drill,38,11,9,31,10,28,28,28,28,18,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,6,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,1,1
ice golem,38,11,9,31,10,28,28,28,28,18,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,6,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,1,1
elite barbarian,39,11,9,32,10,28,28,28,28,18,17,17,17,17,5,17,16,16,16,16,16,16,16,16,15,15,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,6,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,1
bomb tower,39,11,9,32,10,29,29,29,29,18,17,17,17,17,17,17,17,17,17,17,17,17,16,16,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,6,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,2,2,2,2,2,1
mini pekka,40,11,9,32,10,29,29,29,29,19,17,17,17,17,5,17,17,17,17,17,17,17,16,16,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,6,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,2,2,2,2,2,1
mortar,41,11,10,34,10,30,30,30,30,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,16,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,7,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,1
sparky,42,11,10,34,10,31,31,31,31,20,18,18,18,18,6,18,18,18,18,18,18,18,17,17,16,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,7,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,1
elixir golem,45,11,10,37,10,33,33,33,33,21,20,20,20,20,20,20,19,19,19,19,19,19,18,18,18,18,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,7,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2
lp guardian,46,12,10,38,10,34,34,34,34,22,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,17,17,17,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,8,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2
xbow,46,12,10,38,10,34,34,34,34,22,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,17,17,17,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,8,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2
balloon,48,12,10,40,10,35,35,35,35,23,21,21,21,21,6,21,20,20,20,20,20,20,19,19,19,19,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,8,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2
ram rider,49,12,10,40,10,36,36,36,36,23,21,21,21,21,21,21,21,21,21,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,9,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2
hog rider,49,12,10,40,10,36,36,36,36,23,21,21,21,21,21,21,21,21,21,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,9,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2
battle healer,50,12,10,40,10,36,36,36,36,23,22,22,22,22,22,22,21,21,21,21,21,21,20,20,19,19,18,18,18,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,9,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2
cannon cart,50,12,10,41,10,37,37,37,37,23,22,22,22,22,22,22,21,21,21,21,21,21,20,20,19,19,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,13,9,13,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2
inferno tower,51,12,10,42,10,37,37,37,37,24,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,9,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,2,2,2
knight,52,12,11,42,10,38,38,38,38,24,23,23,23,23,7,23,22,22,22,22,22,22,21,21,20,20,19,19,19,18,18,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,9,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,2,2,2
golden knight,52,12,11,43,10,38,38,38,38,24,23,23,23,23,23,23,22,22,22,22,22,22,21,21,20,20,19,19,19,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,9,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,2,2,2
valkyrie,55,12,11,45,11,40,40,40,40,26,24,24,24,24,24,24,23,23,23,23,23,23,22,22,21,21,20,20,20,19,19,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15,15,15,9,14,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,2,2,2
prince,55,12,11,45,11,40,40,40,40,26,24,24,24,24,24,24,23,23,23,23,23,23,22,22,21,21,20,20,20,19,19,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15,15,15,9,14,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,3,3,3,2,2,2
rascals,56,12,11,46,11,41,41,41,41,26,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,20,20,20,20,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,9,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,3,3,3,2,2,2
bowler,60,13,11,49,11,44,44,44,44,28,26,26,26,26,26,26,25,25,25,25,25,25,24,24,23,23,22,22,22,21,21,20,20,20,20,20,19,19,19,19,19,19,18,18,18,18,17,17,17,16,16,16,16,16,9,15,15,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,4,4,4,3,3,2,2,2
monk,64,13,12,52,11,47,47,47,47,30,28,28,28,28,28,28,27,27,27,27,27,27,25,25,25,25,23,23,23,22,22,21,21,21,21,21,21,21,20,20,20,20,19,19,19,19,18,18,18,17,17,17,17,17,10,16,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,4,4,3,3,3,2,2
mighty miner,65,13,12,53,11,47,47,47,47,30,28,28,28,28,28,28,27,27,27,27,27,27,26,26,25,25,23,23,23,23,22,22,22,22,21,21,21,21,21,20,20,20,20,19,19,19,18,18,18,17,17,17,17,17,10,16,16,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,5,4,4,3,3,3,2,2
skeleton king,66,13,12,54,11,48,48,48,48,31,29,29,29,29,29,29,28,28,28,28,28,28,26,26,25,25,24,24,24,23,23,22,22,22,22,22,21,21,21,20,20,20,20,20,20,19,19,18,18,18,18,18,18,18,10,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,5,4,4,4,3,3,2,2
goblin machine,66,13,12,54,11,48,48,48,48,31,29,29,29,29,29,29,28,28,28,28,28,28,26,26,26,26,24,24,24,23,23,22,22,22,22,22,21,21,21,21,21,21,20,20,20,19,19,18,18,18,18,18,18,18,10,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,5,4,4,4,3,3,2,2
goblinstein monster,69,13,12,56,11,50,50,50,50,32,30,30,30,30,30,30,29,29,29,29,29,29,27,27,26,26,25,25,25,24,23,23,23,23,22,22,22,22,22,21,21,21,21,20,20,20,20,19,19,18,18,18,18,18,11,17,17,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,4,4,4,3,3,2,2
rune giant,75,14,13,61,11,55,55,55,55,35,33,33,33,33,33,33,32,32,32,32,32,32,30,30,29,29,27,27,27,26,26,25,25,25,24,24,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,20,20,20,13,19,18,17,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,6,5,5,4,4,4,3,2,2
cannoneer,75,14,13,62,11,55,55,55,55,35,33,33,33,33,33,33,32,32,32,32,32,32,30,30,29,29,27,27,27,26,26,25,25,25,25,25,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,20,20,20,13,19,18,17,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,14,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,5,5,4,4,4,3,2,2
dagger duchess,77,14,13,62,12,56,56,56,56,36,33,33,33,33,33,33,32,32,32,32,32,32,30,30,29,29,27,27,27,27,26,25,25,25,25,25,25,25,24,24,24,24,23,23,23,22,22,21,21,21,21,21,21,20,13,19,18,18,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,11,14,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,5,5,4,4,4,3,2,2
royal chef,78,14,13,63,12,57,57,57,57,36,34,34,34,34,34,34,33,33,33,33,33,104,31,31,30,30,28,28,28,27,26,26,26,26,25,25,25,25,25,24,24,24,24,23,23,23,22,22,22,21,21,21,21,21,14,19,19,18,17,17,17,17,56,17,17,17,17,16,16,16,16,16,16,15,15,47,15,15,15,22,56,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,11,14,11,11,11,11,11,11,11,10,10,10,10,10,10,31,9,9,9,9,9,9,9,9,9,9,57,9,9,9,9,8,8,7,7,7,7,7,3,5,14,4,4,9,3,8
boss bandit,80,14,13,65,12,58,58,58,58,37,35,35,35,35,35,35,33,33,33,33,33,33,32,32,31,31,28,28,28,28,27,26,26,26,26,26,26,26,25,25,25,25,24,24,24,23,23,22,22,21,21,21,21,21,12,20,19,18,18,18,18,18,57,17,17,17,17,17,16,16,16,16,16,16,15,48,15,15,15,22,57,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,32,10,10,10,10,9,9,9,9,9,9,58,9,9,9,9,8,8,8,8,7,7,7,3,5,14,4,4,9,3,8
goblin giant,302,15,13,71,12,63,63,63,63,189,38,38,38,38,57,38,105,36,36,36,36,117,34,34,132,33,31,31,31,30,30,29,29,29,28,28,28,28,27,87,27,27,26,26,26,98,25,24,24,23,23,23,23,23,13,21,21,20,68,19,19,19,62,19,18,18,18,18,18,18,17,68,68,17,17,16,16,16,16,24,16,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,69,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,7,3,5,5,4,4,3,3,3
tower princess,306,15,14,71,12,64,64,64,64,191,38,38,38,38,58,38,114,37,37,37,37,118,35,35,133,34,31,31,31,30,30,29,29,29,28,28,28,28,28,88,27,27,27,26,26,99,25,24,24,23,23,23,23,23,13,22,21,20,123,19,19,19,63,19,19,19,19,18,18,18,18,68,68,17,17,53,16,16,16,24,63,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,16,12,12,12,12,12,70,12,12,11,11,11,11,11,35,11,10,10,10,10,10,10,10,10,10,64,10,10,10,10,9,8,8,8,8,8,7,3,5,15,5,4,10,3,9
royal giant,91,15,14,74,12,66,66,66,66,42,40,40,40,40,40,40,38,38,38,38,38,38,36,36,35,35,32,32,32,32,31,30,30,30,30,30,29,29,29,28,28,28,28,27,27,26,26,25,25,24,24,24,24,24,13,22,22,21,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,18,55,17,17,17,17,65,17,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,13,11,13,12,12,12,12,12,12,12,12,12,12,11,11,36,11,11,11,11,11,11,11,11,10,10,66,10,10,10,10,10,9,9,9,8,8,8,6,5,16,5,4,10,3,9
lava hound,359,16,15,84,13,75,75,75,75,224,45,45,45,45,68,45,133,43,43,43,43,138,41,41,156,39,37,37,37,36,35,34,34,34,33,33,33,33,32,103,32,32,31,30,30,116,29,28,28,27,27,27,27,27,18,25,25,23,80,23,23,23,22,22,22,22,22,21,21,21,21,80,80,20,20,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,14,14,14,13,14,14,14,14,14,82,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,9,9,9,7,6,6,5,5,4,3,3
giant skeleton,362,16,15,85,13,76,76,76,76,227,45,45,45,45,69,45,134,44,44,44,44,140,41,41,158,40,37,37,37,36,35,34,34,34,34,34,33,33,33,104,32,32,31,31,31,117,29,29,29,28,28,28,28,27,18,25,25,24,81,23,23,23,23,23,22,22,22,22,21,21,21,81,81,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,15,15,15,15,15,15,13,14,14,14,14,14,83,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,9,9,9,7,6,6,5,5,4,3,3
pekka,108,17,15,88,13,79,79,79,79,50,47,47,47,47,47,47,45,45,45,45,45,45,43,43,41,41,38,38,38,37,37,36,36,36,35,35,35,35,34,33,33,33,33,32,32,31,31,30,30,29,29,29,29,28,16,26,26,25,24,24,24,24,24,24,23,23,23,22,22,22,22,22,22,21,21,20,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15,13,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,10,10,10,10,9,9,8,6,6,5,5,4,3,3
electro giant,111,17,16,90,13,81,81,81,81,51,48,48,48,48,48,48,46,46,46,46,46,46,44,44,42,42,39,39,39,38,38,37,37,37,36,36,36,36,35,34,34,34,33,33,33,32,31,31,31,29,29,29,29,29,16,27,27,25,25,24,24,24,24,24,23,23,23,23,23,22,22,22,22,21,21,21,21,21,21,21,20,20,20,20,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,17,17,17,16,16,16,16,16,16,14,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,11,10,10,10,9,9,8,7,6,6,5,4,3,3
mega knight,115,17,16,93,13,84,84,84,84,53,50,50,50,50,50,50,48,48,48,48,48,48,45,45,44,44,41,41,41,40,39,38,38,38,37,37,37,37,36,35,35,35,35,34,34,33,32,32,32,31,31,31,31,30,16,28,27,26,25,25,25,25,25,25,24,24,24,24,23,23,23,23,23,22,22,21,21,21,21,21,21,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,16,16,16,16,16,16,14,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,10,10,10,8,7,6,6,5,4,3,3
